subjectID,psychopyVers,codeVers,sd_observe,sd_mean_mu,sd_rw,block,trial,scaling_factor,choiceRT,IFI,correct,correctArm,choice,keycode,cond,mu1,mu2,reward1,reward2,reward,start_coin,total_coin
666,2022.1.2,1,4,10,0,-1,0,0.1,401,1.1165057059982468,False,machine1,machine2,k,"['R', 'S']",8,-11,11,-11,-11,250,239
666,2022.1.2,1,4,10,0,-1,1,0.1,273,1.0554458043873733,True,machine1,machine1,j,"['R', 'S']",8,-11,6,-11,6,250,245
666,2022.1.2,1,4,10,0,-1,2,0.1,258,1.3359596251044694,False,machine1,machine2,k,"['R', 'S']",8,-11,10,-11,-11,250,239
666,2022.1.2,1,4,10,0,1,0,0.1,349,1.0261409230433314,True,machine1,machine1,j,"['R', 'S']",14,12,8,14,8,250,258
666,2022.1.2,1,4,10,0,1,1,0.1,350,1.381673044924583,False,machine1,machine2,k,"['R', 'S']",14,12,15,9,9,250,259
666,2022.1.2,1,4,10,0,1,2,0.1,316,1.2080387299084279,True,machine1,machine1,j,"['R', 'S']",14,12,15,13,15,250,265
666,2022.1.2,1,4,10,0,2,0,0.1,598,1.0255557052305693,False,machine2,machine1,j,"['R', 'S']",2,11,2,11,2,250,252
666,2022.1.2,1,4,10,0,2,1,0.1,349,1.4390221649108361,True,machine2,machine2,k,"['R', 'S']",2,11,2,4,4,250,254
666,2022.1.2,1,4,10,0,2,2,0.1,294,1.1832778103789248,True,machine2,machine2,k,"['R', 'S']",2,11,2,11,11,250,261
